predicate,mortar_count,gear_count,mortar_pct,gear_pct,only_mortar,only_gear,namespace,is_target
rdf:type,19735,1775,33.208,19.068,False,False,rdf,False
rdfs:label,11600,2560,19.519,27.5,False,False,rdfs,False
brick:hasPoint,12044,195,20.267,2.095,False,False,brick,True
ref:hasExternalReference,6722,3034,11.311,32.592,False,False,ref,False
brick:hasPart,4790,387,8.06,4.157,False,False,brick,True
brick:feeds,4450,74,7.488,0.795,False,False,brick,True
<https://w3id.org/rec>:locatedIn,0,601,0.0,6.456,False,True,<https,False
<https://w3id.org/rec>:hasPart,0,558,0.0,5.994,False,True,<https,False
<http://qudt.org/schema/qudt>:hasUnit,0,114,0.0,1.225,False,True,<http,False
owl:imports,44,0,0.074,0.0,True,False,owl,False
brick:area,43,0,0.072,0.0,True,False,brick,False
<https://w3id.org/rec>:levelNumber,0,9,0.0,0.097,False,True,<https,False
<https://w3id.org/rec>:adress,0,1,0.0,0.011,False,True,<https,False
<https://w3id.org/rec>:ownedBy,0,1,0.0,0.011,False,True,<https,False
